id,created_at,text,retweet_count,favorite_count
,,,,
979914000000000000,31-03-2018 02:49,b'\xe0\xa4\x86\xe0\xa4\xaa \xe0\xa4\xb8\xe0\xa4\xad\xe0\xa5\x80 \xe0\xa4\x95\xe0\xa5\x8b \xe0\xa4\xb9\xe0\xa4\xa8\xe0\xa5\x81\xe0\xa4\xae\xe0\xa4\xbe\xe0\xa4\xa8 \xe0\xa4\x9c\xe0\xa4\xaf\xe0\xa4\x82\xe0\xa4\xa4\xe0\xa5\x80 \xe0\xa4\x95\xe0\xa5\x80 \xe0\xa4\xb9\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\xa6\xe0\xa4\xbf\xe0\xa4\x95 \xe0\xa4\xb6\xe0\xa5\x81\xe0\xa4\xad\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xae\xe0\xa4\xa8\xe0\xa4\xbe\xe0\xa4\x8f\xe0\xa4\x82\xe0\xa5\xa4\n\nGreetings to everyone on the auspicious occasion of Hanuman Jayanti. https://t.co/lFxxnhoqhh',7317,36351
,,,,
979768000000000000,30-03-2018 17:09,b'Appealed to my young friends to work on innovations that transform the lives of 125 crore Indians. \n\nEmphasised on\xe2\x80\xa6 https://t.co/QPAoZ6GEca',1814,8186
,,,,
979767000000000000,30-03-2018 17:08,"b'In the 21st century, IPPP will be a strong force. By IPPP I mean Innovation, Patenting, Productivity and Prosperity\xe2\x80\xa6 https://t.co/qdowmZwoCe'",2481,12015
,,,,
979767000000000000,30-03-2018 17:05,"b'Thanks to technology, today\xe2\x80\x99s Hackathon gave me an opportunity to learn about the ideas of youngsters from Ahmedaba\xe2\x80\xa6 https://t.co/n72lj5eVLf'",2709,15661
,,,,
979766000000000000,30-03-2018 17:03,"b'Programmes like the Smart India Hackathon make me extremely happy. Yet again, I saw the rich potential of our Yuva\xe2\x80\xa6 https://t.co/6DqiIczRiO'",1682,7061
,,,,
979715000000000000,30-03-2018 13:38,b'RT @PMOIndia: PM @narendramodi will be joining the Grand Finale of the Smart India Hackathon 2018 this evening. https://t.co/Be9muyUmBJ',1572,0
,,,,
